code,coding_term,ACE_indicator_code,indicator_specific,indicator_1,indicator_2,domain,code_original,severity,cut_off,scale,reference_std,individual,system,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
27,Alcohol consumption,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,136..00,Mild,34,1,"",2,read,160573003,1221271018,17
95744,Alcohol use disorder identificatn test consumptn questionnre,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,38D4.00,Mild,7,1,"",2,read,763256006,3638304015,3
93624,Fast alcohol screening test,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,388u.00,Mild,15,1,"",2,read,1084601000000102,2717721000000114,3
95663,Alcohol screen - AUDIT C completed,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,9k17.00,Mild,7,1,"",2,read,285441000000106,492651000000119,37
2084,Alcohol dependence syndrome,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E23..00,Severe,"","","",2,read,66590003,500478011,32
94963,Alcohol screen - fast alcohol screening test completed,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,9k16.00,Mild,15,1,"",2,read,285411000000105,492591000000114,37
94838,Alcohol use disorders identification test,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,38D3.00,Mild,19,1,"",2,read,443280005,2837707014,3
1399,Alcohol problem drinking,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E23..12,Severe,"","","",2,read,7200002,502017010,32
90714,Alcohol screen - AUDIT completed,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,9k15.00,Mild,19,1,"",2,read,285381000000108,492531000000113,37
12981,Alcohol consumption NOS,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,136Z.00,Mild,34,1,"",2,read,160573003,1221271018,17
48545,Alcohol questionnaire completed,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,9k13.00,Mild,"",1,"",2,read,413475007,2532935011,37
93415,Alcohol units per week,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,136V.00,Mild,34,1,"",2,read,1082641000000106,2713011000000113,17
1618,Heavy drinker - 7-9u/day,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,1365.00,Severe,"","","",2,read,160577002,250314015,17
2083,Alcohol detoxification,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,8BA8.00,Severe,"","","",2,read,64297001,106878015,32
9264,Alcohol consumption screen,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,68S..00,Mild,34,1,"",2,read,171208001,265301016,1
2081,Alcoholism,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E23..11,Severe,"","","",2,read,66590003,110629012,32
12977,Very heavy drinker - >9u/day,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,1366.00,Severe,"","","",2,read,160578007,250316018,17
3782,Intoxication - alcohol,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E250.14,Severe,"","","",2,read,25702006,43083015,32
2082,Alcohol withdrawal syndrome,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E01y000,Severe,"","","",2,read,191480000,294674018,32
11740,Alcohol misuse - enhanced services administration,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,9k1..00,Severe,"","","",2,read,166251000000100,1153251000000119,37
12978,Alcohol consumption unknown,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,1368.00,Mild,34,1,"",2,read,160580001,250318017,17
