code,medcode_gold,coding_term,ACE_indicator_code,indicator_specific,indicator_1,indicator_2,domain,code_original,severity,cut_off,scale,reference_std,individual,system,SnomedCTConceptId,SnomedCTDescriptionId
Q90,"",Down syndrome,AFE17,Learning or intellectual disability,Learning or intellectual disability,Vulnerable families,AFE,Q90,"","","","",2,ICD-10,"",""
F70,"",Mild mental retardation,AFE17,Learning or intellectual disability,Learning or intellectual disability,Vulnerable families,AFE,F70,"","","","",2,ICD-10,"",""
F799,"",Unspecified mental retardation,AFE17,Learning or intellectual disability,Learning or intellectual disability,Vulnerable families,AFE,F799,"","","","",2,ICD-10,"",""
Z640,"",Problems related to unwanted pregnancy,AFE3,Unwanted/concealed pregnancy,Unwanted/concealed pregnancy incl. attempted abortion of the current child,Antenatal care & health visiting concerns,AFE,Z640,"","","","",1,ICD-10,"",""
Z640,"",Problems related to unwanted pregnancy,AFE3,Unwanted/concealed pregnancy,Unwanted/concealed pregnancy incl. attempted abortion of the current child,Antenatal care & health visiting concerns,AFE,Z640,"","",Within pregnancy period of born child,"",2,ICD-10,"",""
Z643,"",Seeking and accepting behavioural and psychological interventions known to be hazardous and harmful,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,Z643,"","","",2,3,ICD-10,"",""
Z64,"",Problems related to certain psychosocial circumstances,AFE16,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,Z64,"","","","",3,ICD-10,"",""
Z134,"",Special screening examination for certain developmental disorders in childhood,AFE17,Learning or intellectual disability,Learning or intellectual disability,Vulnerable families,AFE,Z134,"","","","",2,ICD-10,"",""
O0993,"",Supervisionofhighriskpregnancyunspecifiedthirdtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0993,"","","","",2,ICD-10,"",""
F80,"",Specific developmental disorders of speech and language,AFE17,Learning or intellectual disability,Learning or intellectual disability,Vulnerable families,AFE,F80,"","","","",2,ICD-10,"",""
Z357,"",Supervision of high-risk pregnancy due to social problems,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,Z357,"","","",2,3,ICD-10,"",""
Z353,"",Supervision of pregnancy with history of insufficient antenatal care,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,Z353,"","","","",3,ICD-10,"",""
O0971,"",Supervisionofhighriskpregnancyduetosocialproblemsfirsttrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0971,"","","","",2,ICD-10,"",""
O0972,"",Supervisionofhighriskpregnancyduetosocialproblemssecondtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0972,"","","","",2,ICD-10,"",""
O0973,"",Supervisionofhighriskpregnancyduetosocialproblemsthirdtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0973,"","","","",2,ICD-10,"",""
O0970,"",Supervisionofhighriskpregnancyduetosocialproblemsunspecifiedtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0970,"","","","",2,ICD-10,"",""
O0991,"",Supervisionofhighriskpregnancyunspecifiedfirsttrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0991,"","","","",2,ICD-10,"",""
O0992,"",Supervisionofhighriskpregnancyunspecifiedsecondtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0992,"","","","",2,ICD-10,"",""
O0990,"",Supervisionofhighriskpregnancyunspecifiedunspecifiedtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,O0990,"","","","",2,ICD-10,"",""
