code,medcode_gold,coding_term,ACE_indicator_code,indicator_specific,indicator_1,indicator_2,domain,code_original,severity,cut_off,scale,reference_std,individual,system,SnomedCTConceptId,SnomedCTDescriptionId
461186012,7220,[V]Observation following accident at work,"",Accident,Accident,Accident,Accident,ZV71300,"","","","","",Aurum_SNOMED,171401005,265588013
461187015,52887,[V]Observation following other accident,"",Accident,Accident,Accident,Accident,ZV71400,"","","","","",Aurum_SNOMED,243796009,364629017
334582014,44741,Accidental exposure to potentially harmful entity,"",Accident,Accident,Accident,Accident,U1C..00,"","","","","",Aurum_SNOMED,418098005,2576865011
461342012,71284,Injury assessment,"",Accident,Accident,Accident,Accident,ZVu0500,"","","","","",Aurum_SNOMED,225391007,338710019
387531000006111,66494,[X]Foreign object accident left in body during surg operatn,"",Accident,Accident,Accident,Accident,U611000,"","","","","",Aurum_SNOMED,216898000,329075010
336129013,30030,[X]Sequelae of other accidents,"",Accident,Accident,Accident,Accident,U71..00,"","","","","",Aurum_SNOMED,362977000,482109012
441601000006110,65342,Accident caused by liquid paraffin gas cooker in private dwelling,"",Accident,Accident,Accident,Accident,TD57300,"","","","","",Aurum_SNOMED,217555001,329780013
330256012,101721,Accident caused by abrasive wheel,"",Accident,Accident,Accident,Accident,TG34000,"","","","","",Aurum_SNOMED,217965002,330256012
330234014,95651,Accident caused by agricultural machinery NOS,"",Accident,Accident,Accident,Accident,TG31z00,"","","","","",Aurum_SNOMED,217935007,330225016
330406017,103113,Accident caused by blasting material NOS,"",Accident,Accident,Accident,Accident,TG71z00,"","","","","",Aurum_SNOMED,218101006,330401010
330401010,65591,Accident caused by blasting materials,"",Accident,Accident,Accident,Accident,TG71.00,"","","","","",Aurum_SNOMED,218101006,330401010
329990011,57303,Accident caused by cloudburst,"",Accident,Accident,Accident,Accident,TE81.00,"","","","","",Aurum_SNOMED,217725005,329990011
330244011,93720,Accident caused by crane,"",Accident,Accident,Accident,Accident,TG33100,"","","","","",Aurum_SNOMED,217954007,330244011
330355013,41603,Accident caused by dart,"",Accident,Accident,Accident,Accident,TG4y200,"","","","","",Aurum_SNOMED,218059002,330355013
330473012,30115,Accident caused by domestic electric current,"",Accident,Accident,Accident,Accident,TG90.00,"","","","","",Aurum_SNOMED,218165004,330473012
330404019,73594,Accident caused by dynamite,"",Accident,Accident,Accident,Accident,TG71200,"","","","","",Aurum_SNOMED,218104003,330404019
442331000006115,8962,Accident caused by earth moving/excavation machines NOS,"",Accident,Accident,Accident,Accident,TG38.00,"","","","","",Aurum_SNOMED,274910007,410809011
442361000006112,59301,Accident caused by edge of stiff paper,"",Accident,Accident,Accident,Accident,TG4y300,"","","","","",Aurum_SNOMED,218060007,330356014
330538013,29948,Accident caused by exposure to noise,"",Accident,Accident,Accident,Accident,TGy1.00,"","","","","",Aurum_SNOMED,218226008,330538013
330214013,45436,Accident caused by fall from moving part of machinery,"",Accident,Accident,Accident,Accident,TG30800,"","","","","",Aurum_SNOMED,217924002,330214013
330213019,67372,Accident caused by fall into moving part of machinery,"",Accident,Accident,Accident,Accident,TG30700,"","","","","",Aurum_SNOMED,217923008,330213019
329327012,101088,Accident caused by fall into swimming pool,"",Accident,Accident,Accident,Accident,TC30500,"","","","","",Aurum_SNOMED,217121009,329327012
330228019,40713,Accident caused by farm tractor,"",Accident,Accident,Accident,Accident,TG31200,"","","","","",Aurum_SNOMED,217938009,330228019
443001000006119,54318,Accident caused by fork,"",Accident,Accident,Accident,Accident,TG44300,"","","","","",Aurum_SNOMED,218043002,330338014
330248014,53672,Accident caused by forklift truck,"",Accident,Accident,Accident,Accident,TG33500,"","","","","",Aurum_SNOMED,217958005,330248014
329791018,59629,Accident caused by furnace in other structure or building,"",Accident,Accident,Accident,Accident,TD66.00,"","","","","",Aurum_SNOMED,217176002,329384019
330327014,65226,Accident caused by rubbish disposal appliance,"",Accident,Accident,Accident,Accident,TG42500,"","","","","",Aurum_SNOMED,218032005,2532205014
329777012,39774,Accident caused by gas cooker in private dwelling,"",Accident,Accident,Accident,Accident,TD57000,"","","","","",Aurum_SNOMED,217552003,329777012
330278017,33881,Accident caused by gas turbine,"",Accident,Accident,Accident,Accident,TG36000,"","","","","",Aurum_SNOMED,217986002,330278017
