code,medcode_gold,coding_term,ACE_indicator_code,indicator_specific,indicator_1,indicator_2,domain,code_original,severity,cut_off,scale,reference_std,individual,system,SnomedCTConceptId,SnomedCTDescriptionId
P961,"",Neonatal withdrawal symptoms from maternal use of drugs of addiction,CM3,NAS/FASD,Neglect (incl. NAS/FASD) and emotional/psychological abuse,CM,CM,P961,"","","",1,3,ICD-10,"",""
Y35,"",Legal intervention,CM6,Parental criminal activity/Imprisonment,Suspected CM NOS (incl. neglect and social service involvements),Suspected CM,CM,Y35,"","","","",2,ICD-10,"",""
Y890,"",Sequelae of legal intervention,CM6,Parental criminal activity/Imprisonment,Suspected CM NOS (incl. neglect and social service involvements),Suspected CM,CM,Y890,"","","","",2,ICD-10,"",""
T742,"",Sexual abuse,CM2,Physical or sexual abuse,"CM NOS, incl. physical or sexual abuse",CM,CM,T742,"","","",1,1,ICD-10,"",""
Y089,"",Assault by other specified means,CM7,"Assault NOS, CM","Child assaulted NOS (incl. physical/sexual abuse, rib fractures)",Suspected CM,CM,Y089,Unspecified place,"","","",1,ICD-10,"",""
X85,"","Assault by drugs, medicaments and biological substances",CM7,"Assault NOS, CM","Child assaulted NOS (incl. physical/sexual abuse, rib fractures)",Suspected CM,CM,X85,"","","","",1,ICD-10,"",""
Y871,"",Sequelae of assault,CM7,"Assault NOS, CM","Child assaulted NOS (incl. physical/sexual abuse, rib fractures)",Suspected CM,CM,Y871,"","","","",1,ICD-10,"",""
X959,"",Assault by other and unspecified firearm discharge,CM7,"Assault NOS, CM","Child assaulted NOS (incl. physical/sexual abuse, rib fractures)",Suspected CM,CM,X959,Unspecified place,"","","",1,ICD-10,"",""
X93,"",Assault by handgun discharge,CM7,"Assault NOS, CM","Child assaulted NOS (incl. physical/sexual abuse, rib fractures)",Suspected CM,CM,X93,"","","","",1,ICD-10,"",""
Y06,"",Neglect and abandonment,CM3,Neglect incl. emotional/psychological abuse,Neglect (incl. NAS/FASD) and emotional/psychological abuse,CM,CM,Y06,"","","",1,1,ICD-10,"",""
