code,medcode_gold,coding_term,ACE_indicator_code,indicator_specific,indicator_1,indicator_2,domain,code_original,severity,cut_off,scale,reference_std,system,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
458369016,9151,Drugs of abuse screening test,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,68U..00,Moderate,if_linked_to_referral,1,"",Aurum_SNOMED,1015891000000107,2552721000000117,""
508660012,9151,Drugs of abuse screening,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,68U..00,Moderate,if_linked_to_referral,1,"",Aurum_SNOMED,1015891000000107,2552721000000117,""
457582010,33917,Drugs of abuse urine screening,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,68U0.00,Moderate,if_linked_to_referral,1,"",Aurum_SNOMED,1015901000000108,2583121000000116,""
458368012,33917,Drugs of abuse urine screening test,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,68U0.00,Moderate,if_linked_to_referral,1,"",Aurum_SNOMED,1015901000000108,2583121000000116,""
342467016,106999,Frequency of drug misuse,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,1V2..00,Moderate,if_linked_to_referral,1,"",Aurum_SNOMED,228390007,342467016,""
1488665015,71203,Urine drug metabolite screening test,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,44qP.00,Moderate,if_linked_to_referral,1,"",Aurum_SNOMED,394963007,1488665015,""
9151,"",Drugs of abuse screening,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,68U..00,Moderate,if_linked_to_referral,1,"",read,"","",""
10658,"",HoNOS item 3 - alcohol/drug problem,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,ZRLfD12,Moderate,if_linked_to_referral,1,"",read,"","",""
37983,"",Drug abuse screening test,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,ZRBK.00,Moderate,if_linked_to_referral,1,"",read,"","",""
33917,"",Drugs of abuse urine screening,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,68U0.00,Moderate,if_linked_to_referral,1,"",read,"","",""
58560,"",Severity of opiate dependence questionnaire,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,ZRk7.00,Moderate,if_linked_to_referral,1,"",read,"","",""
38212,"",Drugs of abuse urine screening test,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,44qA.00,Moderate,if_linked_to_referral,1,"",read,"","",""
37900,"",DAST - Drug abuse screening test,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,ZRBK.11,Moderate,if_linked_to_referral,1,"",read,"","",""
59631,"",Addiction severity index,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,ZR1A.00,Moderate,if_linked_to_referral,1,"",read,"","",""
106999,"",Frequency of drug misuse,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,1V2..00,Moderate,if_linked_to_referral,1,"",read,"","",""
66404,"",Maudsley addiction profile,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,ZRVn.00,Moderate,if_linked_to_referral,1,"",read,"","",""
60243,"",SODQ - Severity of opiate dependence questionnaire,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,ZRk7.11,Moderate,if_linked_to_referral,1,"",read,"","",""
27082,"",Drugs of abuse screening test,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,44q9.00,Moderate,if_linked_to_referral,1,"",read,"","",""
71203,"",Urine drug metabolite screening test,SM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,SM,44qP.00,Moderate,if_linked_to_referral,1,"",read,"","",""
302741000006114,8250,Emotional stress,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,R00zW00,symptom,age<19,"","",Aurum_SNOMED,442347009,2821158018,""
366771000006115,525,[X]Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,Eu9..00,diagnostic,age<19,"","",Aurum_SNOMED,231538003,347024014,""
296736015,50238,Childhood emotional disorder,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,Eu93z00,diagnostic,age<19,"","",Aurum_SNOMED,268664001,401817017,""
511661000000116,91580,[X]Emotional behavioural problems,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,Eu92.11,diagnostic,age<19,"","",Aurum_SNOMED,5793009,498014018,""
296721018,44577,[X]Emotional disorders with onset specific to childhood,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,Eu93.00,diagnostic,age<19,"","",Aurum_SNOMED,268664001,401817017,""
379691000006110,21032,[X]Emotional sleep disorder NOS,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,Eu51z11,diagnostic,age<19,"","",Aurum_SNOMED,270487001,405106013,""
