code,medcode_gold,coding_term,ACE_indicator_code,indicator_specific,indicator_1,indicator_2,domain,code_original,severity,cut_off,scale,reference_std,individual,system,SnomedCTConceptId,SnomedCTDescriptionId
Y15,"","Poisoning by and exposure to alcohol, undetermined intent",HPRCM6,Poisoning by or exposure to substances,"Child harm by undetermined intent - rare injuries & life-threatening events (retinal haemorrhages, drownings, SUDI, firearm etc.)",Harm by undetermined intent,HRP-CM,Y15,"","","","",1,ICD-10,"",""
Y159,"","Poisoning by and exposure to alcohol, undetermined intent",HPRCM6,Poisoning by or exposure to substances,"Child harm by undetermined intent - rare injuries & life-threatening events (retinal haemorrhages, drownings, SUDI, firearm etc.)",Harm by undetermined intent,HRP-CM,Y159,"","","","",1,ICD-10,"",""
W749,"",Unspecified drowning and submersion,HPRCM6,"Rarer events, NOS (incl. by firearm, drownings, SID)","Child harm by undetermined intent - rare injuries & life-threatening events (retinal haemorrhages, drownings, SUDI, firearm etc.)",Harm by undetermined intent,HRP-CM,W749,"","","","",1,ICD-10,"",""
W769,"",Other accidental hanging and strangulation,HPRCM6,Suffocation or strangulation,"Child harm by undetermined intent - rare injuries & life-threatening events (retinal haemorrhages, drownings, SUDI, firearm etc.)",Harm by undetermined intent,HRP-CM,W769,"","","","",1,ICD-10,"",""
P529,"","Intracranial (nontraumatic) haemorrhage of fetus and newborn, unspecified",HPRCM6,Subarachnoid haemorrhage other,"Child harm by undetermined intent - rare injuries & life-threatening events (retinal haemorrhages, drownings, SUDI, firearm etc.)",Harm by undetermined intent,HRP-CM,P529,"","","","",1,ICD-10,"",""
Y10,"","Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent",HPRCM6,Poisoning by or exposure to substances,"Child harm by undetermined intent - rare injuries & life-threatening events (retinal haemorrhages, drownings, SUDI, firearm etc.)",Harm by undetermined intent,HRP-CM,Y10,"","","","",1,ICD-10,"",""
Y16,"","Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent",HPRCM6,Poisoning by or exposure to substances,"Child harm by undetermined intent - rare injuries & life-threatening events (retinal haemorrhages, drownings, SUDI, firearm etc.)",Harm by undetermined intent,HRP-CM,Y16,"","","","",1,ICD-10,"",""
Y199,"","Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent",HPRCM6,Poisoning by or exposure to substances,"Child harm by undetermined intent - rare injuries & life-threatening events (retinal haemorrhages, drownings, SUDI, firearm etc.)",Harm by undetermined intent,HRP-CM,Y199,"","","","",1,ICD-10,"",""
Y149,"","Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",HPRCM6,Poisoning by or exposure to substances,"Child harm by undetermined intent - rare injuries & life-threatening events (retinal haemorrhages, drownings, SUDI, firearm etc.)",Harm by undetermined intent,HRP-CM,Y149,"","","",2,1,ICD-10,"",""
S301,"",Contusion of abdominal wall,HPRCM1,Bruising & contusions,Bruising & contusions,Child Injuries,HRP-CM,S301,"","","","",1,ICD-10,"",""
S500,"",Contusion of elbow,HPRCM1,Bruising & contusions,Bruising & contusions,Child Injuries,HRP-CM,S500,"","","","",1,ICD-10,"",""
S300,"",Contusion of lower back and pelvis,HPRCM1,Bruising & contusions,Bruising & contusions,Child Injuries,HRP-CM,S300,"","","","",1,ICD-10,"",""
S501,"",Contusion of other and unspecified parts of forearm,HPRCM1,Bruising & contusions,Bruising & contusions,Child Injuries,HRP-CM,S501,"","","","",1,ICD-10,"",""
S801,"",Contusion of other and unspecified parts of lower leg,HPRCM1,Bruising & contusions,Bruising & contusions,Child Injuries,HRP-CM,S801,"","","","",1,ICD-10,"",""
S701,"",Contusion of thigh,HPRCM1,Bruising & contusions,Bruising & contusions,Child Injuries,HRP-CM,S701,"","","","",1,ICD-10,"",""
S007,"",Multiple superficial injuries of head,HPRCM2,Superficial head injuries,"Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S007,"","","",2,1,ICD-10,"",""
S009,"","Superficial injury of head, part unspecified",HPRCM2,Superficial head injuries,"Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S009,"","","","",1,ICD-10,"",""
S008,"",Superficial injury of other parts of head,HPRCM2,Superficial head injuries,"Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S008,"","","","",1,ICD-10,"",""
S307,"","Multiple superficial injuries of abdomen, lower back and pelvis",HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S307,"","","","",1,ICD-10,"",""
S507,"",Multiple superficial injuries of forearm,HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S507,"","","","",1,ICD-10,"",""
S707,"",Multiple superficial injuries of hip and thigh,HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S707,"","","","",1,ICD-10,"",""
S807,"",Multiple superficial injuries of lower leg,HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S807,"","","","",1,ICD-10,"",""
S107,"",Multiple superficial injuries of neck,HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S107,"","","","",1,ICD-10,"",""
S407,"",Multiple superficial injuries of shoulder and upper arm,HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S407,"","","","",1,ICD-10,"",""
S607,"",Multiple superficial injuries of wrist and hand,HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S607,"","","","",1,ICD-10,"",""
T009,"","Multiple superficial injuries, unspecified",HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,T009,"","","","",1,ICD-10,"",""
S308,"","Other superficial injuries of abdomen, lower back and pelvis",HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S308,"","","","",1,ICD-10,"",""
T003,"",Superficial injuries involving multiple regions of lower limb(s),HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,T003,"","","","",1,ICD-10,"",""
T002,"",Superficial injuries involving multiple regions of upper limb(s),HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,T002,"","","","",1,ICD-10,"",""
T006,"",Superficial injuries involving multiple regions of upper limb(s) with lower limb(s),HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,T006,"","","","",1,ICD-10,"",""
S309,"","Superficial injury of abdomen, lower back and pelvis, part unspecified",HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S309,"","","","",1,ICD-10,"",""
S004,"",Superficial injury of ear,HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S004,"","","","",1,ICD-10,"",""
S509,"","Superficial injury of forearm, unspecified",HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S509,"","","","",1,ICD-10,"",""
S709,"","Superficial injury of hip and thigh, unspecified",HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S709,"","","",2,1,ICD-10,"",""
S809,"","Superficial injury of lower leg, unspecified",HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S809,"","","","",1,ICD-10,"",""
T130,"","Superficial injury of lower limb, level unspecified",HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,T130,"","","","",1,ICD-10,"",""
S109,"","Superficial injury of neck, part unspecified",HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S109,"","","","",1,ICD-10,"",""
S208,"",Superficial injury of other and unspecified parts of thorax,HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S208,"","","","",1,ICD-10,"",""
S409,"","Superficial injury of shoulder and upper arm, unspecified",HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S409,"","","","",1,ICD-10,"",""
T140,"",Superficial injury of unspecified body region,HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,T140,"","","","",1,ICD-10,"",""
S609,"","Superficial injury of wrist and hand, unspecified",HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S609,"","","","",1,ICD-10,"",""
S799,"",Unspecified injury of hip and thigh,HPRCM2,"Lacerations, scars and abrasions - body NOS","Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S799,"","","","",1,ICD-10,"",""
S221,"",Multiple fractures of thoracic spine,HPRCM2,Intra-abdominal injuries or spinal fractures,"Superficial injuries of head, neck or multiple body parts",Child Injuries,HRP-CM,S221,"","","","",1,ICD-10,"",""
