code,medcode_gold,coding_term,ACE_indicator_code,indicator_specific,indicator_1,indicator_2,domain,code_original,severity,cut_off,scale,reference_std,individual,system,SnomedCTConceptId,SnomedCTDescriptionId
Y089,"",Assault by other specified means,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,Y089,Unspecified place,"",Aslt_algo_index,"",2,ICD-10,"",""
X85,"","Assault by drugs, medicaments and biological substances",ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,X85,"","",Aslt_algo_index,"",2,ICD-10,"",""
Y871,"",Sequelae of assault,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,Y871,"","",Aslt_algo_index,"",2,ICD-10,"",""
T742,"",Sexual abuse,IPV4,"Sexual abuse, IPV","Suspected IPV, physical or sexual abuse",Suspected IPV (susp. IPV),IPV,T742,"","","","",2,ICD-10,"",""
Y089,"",Assault by other specified means,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y089,Unspecified place,"","","",2,ICD-10,"",""
Y871,"",Sequelae of assault,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y871,"","","","",2,ICD-10,"",""
X959,"",Assault by other and unspecified firearm discharge,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,X959,Unspecified place,"",Aslt_algo_index,"",2,ICD-10,"",""
X93,"",Assault by handgun discharge,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,X93,"","",Aslt_algo_index,"",2,ICD-10,"",""
X959,"",Assault by other and unspecified firearm discharge,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X959,Unspecified place,"","","",2,ICD-10,"",""
Y049,"",Assault by bodily force,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,Y049,Unspecified place,"",Aslt_algo_index,"",2,ICD-10,"",""
X929,"",Assault by drowning and submersion,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,X929,Unspecified place,"",Aslt_algo_index,"",2,ICD-10,"",""
X989,"","Assault by steam, hot vapours and hot objects",ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,X989,Unspecified place,"",Aslt_algo_index,"",2,ICD-10,"",""
Y00,"",Assault by blunt object,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,Y00,"","",Aslt_algo_index,"",2,ICD-10,"",""
X96,"",Assault by explosive material,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,X96,"","",Aslt_algo_index,"",2,ICD-10,"",""
Y049,"",Assault by bodily force,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y049,Unspecified place,"","","",2,ICD-10,"",""
X929,"",Assault by drowning and submersion,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X929,Unspecified place,"","","",2,ICD-10,"",""
X999,"",Assault by sharp object,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,X999,Unspecified place,"",Aslt_algo_index,"",2,ICD-10,"",""
X99,"",Assault by sharp object,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,X99,"","",Aslt_algo_index,"",2,ICD-10,"",""
X999,"",Assault by sharp object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X999,Unspecified place,"","","",2,ICD-10,"",""
X99,"",Assault by sharp object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X99,"","","","",2,ICD-10,"",""
Y059,"",Sexual assault by bodily force,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,Y059,Unspecified place,"",Aslt_algo_index,"",2,ICD-10,"",""
Y059,"",Sexual assault by bodily force,IPV4,"Sexual abuse, IPV","Suspected IPV, physical or sexual abuse",Suspected IPV (susp. IPV),IPV,Y059,Unspecified place,"","","",2,ICD-10,"",""
W349,"",Discharge from other and unspecified firearms,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,W349,"","",Aslt_algo_index,"",2,ICD-10,"",""
W32,"",Handgun discharge,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,W32,"","",Aslt_algo_index,"",2,ICD-10,"",""
Y87,"","Sequelae of intentional self-harm, assault and events of undetermined intent",ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,Y87,"","",Aslt_algo_index,"",2,ICD-10,"",""
Y007,"",Assault by blunt object,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,Y007,Farm,"",Aslt_algo_index,"",2,ICD-10,"",""
Y047,"",Assault by bodily force,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,Y047,Farm,"",Aslt_algo_index,"",2,ICD-10,"",""
X867,"",Assault by corrosive substance,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,X867,Farm,"",Aslt_algo_index,"",2,ICD-10,"",""
X857,"","Assault by drugs, medicaments and biological substances",ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,X857,Farm,"",Aslt_algo_index,"",2,ICD-10,"",""
X887,"",Assault by gases and vapours,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,X887,Farm,"",Aslt_algo_index,"",2,ICD-10,"",""
X917,"","Assault by hanging, strangulation and suffocation",ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,X917,Farm,"",Aslt_algo_index,"",2,ICD-10,"",""
X897,"",Assault by other specified chemicals and noxious substances,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,X897,Farm,"",Aslt_algo_index,"",2,ICD-10,"",""
Y087,"",Assault by other specified means,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,Y087,Farm,"",Aslt_algo_index,"",2,ICD-10,"",""
X877,"",Assault by pesticides,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,X877,Farm,"",Aslt_algo_index,"",2,ICD-10,"",""
Y017,"",Assault by pushing from high place,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,Y017,Farm,"",Aslt_algo_index,"",2,ICD-10,"",""
Y027,"",Assault by pushing or placing victim before moving object,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),IPV_ASSLT_ALGO,Y027,Farm,"",Aslt_algo_index,"",2,ICD-10,"",""
