code,coding_term,ACE_indicator_code,indicator_specific,indicator_1,indicator_2,domain,code_original,severity,cut_off,scale,reference_std,individual,system
T742,Sexual abuse,IPV4,"Sexual abuse, IPV","Suspected IPV, physical or sexual abuse",Suspected IPV (susp. IPV),IPV,T742,"","","","",2,ICD-10
Y089,Assault by other specified means,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y089,Unspecified place,"","","",2,ICD-10
Y871,Sequelae of assault,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y871,"","","","",2,ICD-10
X959,Assault by other and unspecified firearm discharge,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X959,Unspecified place,"","","",2,ICD-10
Y049,Assault by bodily force,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y049,Unspecified place,"","","",2,ICD-10
X929,Assault by drowning and submersion,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X929,Unspecified place,"","","",2,ICD-10
X999,Assault by sharp object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X999,Unspecified place,"","","",2,ICD-10
X99,Assault by sharp object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X99,"","","","",2,ICD-10
Y059,Sexual assault by bodily force,IPV4,"Sexual abuse, IPV","Suspected IPV, physical or sexual abuse",Suspected IPV (susp. IPV),IPV,Y059,Unspecified place,"","","",2,ICD-10
Y060,By spouse or partner,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,Y060,"","","",1,2,ICD-10
Y070,By spouse or partner,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,Y070,"","","",1,2,ICD-10
T749,"Maltreatment syndrome, unspecified",IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,T749,"","","",1,2,ICD-10
T74,Maltreatment syndromes,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,T74,"","","",1,2,ICD-10
T740,Neglect or abandonment,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,T740,"","","",1,2,ICD-10
T748,Other maltreatment syndromes,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,T748,"","","",1,2,ICD-10
T741,Physical abuse,IPV1,"Physical abuse, IPV","IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,T741,"","","",1,2,ICD-10
T743,Psychological abuse,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,T743,"","","",1,2,ICD-10
Z33,"Pregnant state, incidental",IPV2,"Pregnant state, incidental",Mother assaulted + child protection recording or pregnant incident,mIPV,IPV,Z33,45days,"",Aslt_algo_1,"",2,ICD-10
11572,History of domestic violence,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,14X3.00,"","","",1,2,read
12684,Victim of domestic violence,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,14X8.00,"","","",1,2,read
108157,Police domestic incident report received,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,9NDJ.00,"","","",1,2,read
19017,Significant event reported,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,9g0..00,"","","",1,3,read
93502,History of domestic abuse,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,14XD.00,"","","",1,2,read
103571,Subject of multi-agency risk assessment conference,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,13Hm.00,"","","",1,2,read
8605,History of physical abuse,IPV1,"Physical abuse, IPV","IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,14X0.00,"","","",1,2,read
3483,Violent spouse,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,13HD.00,"","","",1,2,read
12537,Victim of physical abuse,IPV1,"Physical abuse, IPV","IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,14X5.00,"","","",1,2,read
21259,Violence between parents,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,13HP600,"","","",1,3,read
97175,Family member subject of child protection plan,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,13Iy.00,"","","",1,2,read
107316,Victim of domestic abuse,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,14XG.00,"","","",1,2,read
3321,Battered wife,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,SN56300,"","","",1,2,read
30634,Alleged perpetrator of domestic violence,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,14XC.00,"","","",1,2,read
107307,Domestic abuse victim in household,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,13Wd.00,"","","",1,2,read
26418,Advice about domestic violence,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,67Ia.00,"","","",1,2,read
31601,Maltreatment syndromes,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,SN57.00,"","","",1,2,read
48546,Victim of emotional abuse,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,14X7.00,"","","",1,2,read
97277,Family member no longer subject of child protection plan,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,13Iz.00,"","","",1,2,read
30298,Domestic abuse counselling,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,Z415.00,"","","",1,2,read
15810,Adult maltreatment syndrome NOS,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,SN56z00,"","","",1,2,read
22873,Battered wife - history,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,13HA.00,"","","",1,2,read
82472,Advice about domestic abuse,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,67Ia.11,"","","",1,2,read
5575,Adult maltreatment syndrome,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,SN56.00,"","","",1,2,read
46016,Homicide or assault NOS,IPV1,"Assault NOS, IPV","IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,TLz..00,"","","",1,2,read
107470,Routine enquiry about domestic abuse,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,9r0..00,"","","",1,2,read
110392,Notifctn received of alleged domestic violence in household,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,9GA..00,"","","",1,2,read
36393,Abuse counselling,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,Z41..00,"","","",1,2,read
111048,Mother victim of domestic violence,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,12K7.00,"","","",1,3,read
37981,Verbal abuse counselling,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,Z413.00,"","","",1,2,read
98455,Subject of multi-agency public protection arrangements,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,13Hl.00,"","","",1,2,read
35230,Physical abuse counselling,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,Z412.00,"","","",1,2,read
27889,"Battered woman, unspecified",IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,SN56100,"","","",1,2,read
102895,Domestic abuse not discussed,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,8IC..00,"","","",1,2,read
48844,"[X]Assault by unspecified means, occurrence at home",IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,U3z0.00,Home,"","",1,2,read
37113,"[X]Neglect and abandonment, by spouse or partner",IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,U3M0.00,"","","",1,2,read
28484,"[X]Other maltreatment syndromes, by spouse or partner",IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,U3N0.00,"","","",1,2,read
39640,"Battered person unspecified, syndrome",IPV1,"Physical abuse, IPV","IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,SN56000,"","","",1,2,read
52916,"[X]Assault by blunt object, occurrence at home",IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,U3F0.00,Home,"","",1,2,read
110073,Routine enquiry about domestic abuse not made,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,8IC1.00,"","","",1,2,read
33823,"[X]Assault by other specified means, occurrence at home",IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,U3y0.00,Home,"","",1,2,read
50149,Crime against spouse,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,13W7000,"","","",1,2,read
107819,Routine enquiry about domestic abuse declined,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,8IC0.00,"","","",1,2,read
102501,Referral to domestic violence advocate,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,8Hl7.00,"","","",1,2,read
39837,[X]Other maltreatment syndromes,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,U3N..00,"","","",1,2,read
59088,[X]Hit struck kick twist bitten/scratch anoth pers occ home,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,U120000,Home,"","",1,2,read
111174,HOdomesticphysicalabuse,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,14XD100,"","","",1,2,read
111275,HOdomesticsexualabuse,IPV1,"Sexual abuse, IPV","IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,14XD200,"","","",1,2,read
111500,Victim of psychological abuse,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",mIPV,IPV,14XJ.00,"","","",1,2,read
