code,medcode_gold,coding_term,ACE_indicator_code,indicator_specific,indicator_1,indicator_2,domain,code_original,severity,cut_off,scale,reference_std,individual,system,SnomedCTConceptId,SnomedCTDescriptionId
T742,"",Sexual abuse,IPV4,"Sexual abuse, IPV","Suspected IPV, physical or sexual abuse",Suspected IPV (susp. IPV),IPV,T742,"","","","",2,ICD-10,"",""
Y089,"",Assault by other specified means,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y089,Unspecified place,"","","",2,ICD-10,"",""
Y871,"",Sequelae of assault,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y871,"","","","",2,ICD-10,"",""
X959,"",Assault by other and unspecified firearm discharge,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X959,Unspecified place,"","","",2,ICD-10,"",""
Y049,"",Assault by bodily force,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y049,Unspecified place,"","","",2,ICD-10,"",""
X929,"",Assault by drowning and submersion,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X929,Unspecified place,"","","",2,ICD-10,"",""
X999,"",Assault by sharp object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X999,Unspecified place,"","","",2,ICD-10,"",""
X99,"",Assault by sharp object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X99,"","","","",2,ICD-10,"",""
Y059,"",Sexual assault by bodily force,IPV4,"Sexual abuse, IPV","Suspected IPV, physical or sexual abuse",Suspected IPV (susp. IPV),IPV,Y059,Unspecified place,"","","",2,ICD-10,"",""
Y060,"",By spouse or partner,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",IPV,IPV,Y060,"","","",1,2,ICD-10,"",""
Y070,"",By spouse or partner,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",IPV,IPV,Y070,"","","",1,2,ICD-10,"",""
T749,"","Maltreatment syndrome, unspecified",IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",IPV,IPV,T749,"","","",1,2,ICD-10,"",""
T74,"",Maltreatment syndromes,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",IPV,IPV,T74,"","","",1,2,ICD-10,"",""
T740,"",Neglect or abandonment,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",IPV,IPV,T740,"","","",1,2,ICD-10,"",""
T748,"",Other maltreatment syndromes,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",IPV,IPV,T748,"","","",1,2,ICD-10,"",""
T741,"",Physical abuse,IPV1,"Physical abuse, IPV","IPV, NOS (incl. physical/sexual abuse)",IPV,IPV,T741,"","","",1,2,ICD-10,"",""
T743,"",Psychological abuse,IPV1,Parental intimate partner violence NOS,"IPV, NOS (incl. physical/sexual abuse)",IPV,IPV,T743,"","","",1,2,ICD-10,"",""
Z33,"","Pregnant state, incidental",IPV2,"Pregnant state, incidental",Mother assaulted + child protection recording or pregnant incident,IPV,IPV,Z33,45days,"",Aslt_algo_1,"",2,ICD-10,"",""
Y072,"",By acquaintance or friend,IPV3,Parental intimate partner violence NOS,Suspected IPV NOS,Suspected IPV (susp. IPV),IPV,Y072,"","","",2,2,ICD-10,"",""
Y078,"",By other specified persons,IPV3,Parental intimate partner violence NOS,Suspected IPV NOS,Suspected IPV (susp. IPV),IPV,Y078,"","","",2,2,ICD-10,"",""
Y079,"",By unspecified person,IPV3,Parental intimate partner violence NOS,Suspected IPV NOS,Suspected IPV (susp. IPV),IPV,Y079,"","","",2,2,ICD-10,"",""
Y050,"",Sexual assault by bodily force,IPV4,"Sexual abuse, IPV","Suspected IPV, physical or sexual abuse",Suspected IPV (susp. IPV),IPV,Y050,Home,"","","",2,ICD-10,"",""
Z045,"",Examination and observation following other inflicted injury,IPV4,"Physical abuse, IPV","Suspected IPV, physical or sexual abuse",Suspected IPV (susp. IPV),IPV,Z045,"","","","",2,ICD-10,"",""
X997,"",Assault by sharp object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X997,Farm,"","","",2,ICD-10,"",""
Y000,"",Assault by blunt object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y000,Home,"","","",2,ICD-10,"",""
Y040,"",Assault by bodily force,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y040,Home,"","","",2,ICD-10,"",""
X920,"",Assault by drowning and submersion,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X920,Home,"","","",2,ICD-10,"",""
X960,"",Assault by explosive material,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X960,Home,"","","",2,ICD-10,"",""
X930,"",Assault by handgun discharge,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X930,Home,"","","",2,ICD-10,"",""
X910,"","Assault by hanging, strangulation and suffocation",IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X910,Home,"","","",2,ICD-10,"",""
X950,"",Assault by other and unspecified firearm discharge,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X950,Home,"","","",2,ICD-10,"",""
Y080,"",Assault by other specified means,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y080,Home,"","","",2,ICD-10,"",""
Y010,"",Assault by pushing from high place,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y010,Home,"","","",2,ICD-10,"",""
Y020,"",Assault by pushing or placing victim before moving object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y020,Home,"","","",2,ICD-10,"",""
X940,"","Assault by rifle, shotgun and larger firearm discharge",IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X940,Home,"","","",2,ICD-10,"",""
X990,"",Assault by sharp object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X990,Home,"","","",2,ICD-10,"",""
X970,"","Assault by smoke, fire and flames",IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X970,Home,"","","",2,ICD-10,"",""
Y090,"",Assault by unspecified means,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y090,Home,"","","",2,ICD-10,"",""
X996,"",Assault by sharp object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X996,Industrial and construction area,"","","",2,ICD-10,"",""
Y088,"",Assault by other specified means,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y088,Other specified places,"","","",2,ICD-10,"",""
X998,"",Assault by sharp object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X998,Other specified places,"","","",2,ICD-10,"",""
Y098,"",Assault by unspecified means,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y098,Other specified places,"","","",2,ICD-10,"",""
X991,"",Assault by sharp object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X991,Residential institution,"","","",2,ICD-10,"",""
X992,"",Assault by sharp object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X992,"School, other institution and public administrative area","","","",2,ICD-10,"",""
X993,"",Assault by sharp object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X993,Sports and athletics area,"","","",2,ICD-10,"",""
Y084,"",Assault by other specified means,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y084,Street and highway,"","","",2,ICD-10,"",""
X994,"",Assault by sharp object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X994,Street and highway,"","","",2,ICD-10,"",""
Y094,"",Assault by unspecified means,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y094,Street and highway,"","","",2,ICD-10,"",""
X995,"",Assault by sharp object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X995,Trade and service area,"","","",2,ICD-10,"",""
Y009,"",Assault by blunt object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y009,Unspecified place,"","","",2,ICD-10,"",""
X969,"",Assault by explosive material,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X969,Unspecified place,"","","",2,ICD-10,"",""
X939,"",Assault by handgun discharge,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X939,Unspecified place,"","","",2,ICD-10,"",""
X919,"","Assault by hanging, strangulation and suffocation",IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X919,Unspecified place,"","","",2,ICD-10,"",""
Y019,"",Assault by pushing from high place,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y019,Unspecified place,"","","",2,ICD-10,"",""
Y029,"",Assault by pushing or placing victim before moving object,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y029,Unspecified place,"","","",2,ICD-10,"",""
X949,"","Assault by rifle, shotgun and larger firearm discharge",IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X949,Unspecified place,"","","",2,ICD-10,"",""
X979,"","Assault by smoke, fire and flames",IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,X979,Unspecified place,"","","",2,ICD-10,"",""
Y099,"",Assault by unspecified means,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Y099,Unspecified place,"","","",2,ICD-10,"",""
Z654,"",Victim of crime and terrorism,IPV5,"Assault NOS, IPV",Mother assaulted NOS (hospital admission only),Suspected IPV (susp. IPV),IPV,Z654,"","","","",2,ICD-10,"",""
