code,coding_term,ACE_indicator_code,indicator_specific,indicator_1,indicator_2,domain,code_original,severity,cut_off,scale,reference_std,individual,system
X659,Intentional self-poisoning by and exposure to alcohol,MHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,MHP,X659,Severe,"","","",2,ICD-10
X65,Intentional self-poisoning by and exposure to alcohol,MHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,MHP,X65,"","","","",2,ICD-10
F062,Organic delusional [schizophrenia-like] disorder,MHP13,Psychosis incl. sections,Psychosis incl. mental health sections NOS,Psychosis,MHP,F062,diagnostic,"","","",2,ICD-10
F500,Anorexia nervosa,MHP11,Anorexia nervosa,Anorexia nervosa,Eating disorders,MHP,F500,"","","","",2,ICD-10
F501,Atypical anorexia nervosa,MHP11,Anorexia nervosa,Anorexia nervosa,Eating disorders,MHP,F501,"","","","",2,ICD-10
F40,Phobic anxiety disorders,MHP3,Anxiety disorder,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,F40,diagnostic,"","","",2,ICD-10
F932,Social anxiety disorder of childhood,MHP3,Anxiety disorder,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,F932,"","","","",2,ICD-10
F449,"Dissociative [conversion] disorder, unspecified",MHP6,PTSD/Acute stress,PTSD incl. acute stress disorder,Common mental health problems,MHP,F449,diagnostic,"","","",2,ICD-10
F909,"Hyperkinetic disorder, unspecified",MHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,MHP,F909,"",ADHD,"","",2,ICD-10
F90,Hyperkinetic disorders,MHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,MHP,F90,"",ADHD,"","",2,ICD-10
F340,Cyclothymia,MHP1,Depression,Depression incl. antidepressants,Common mental health problems,MHP,F340,diagnostic,"","","",2,ICD-10
F30,Manic episode,MHP13,Psychosis incl. sections,Psychosis incl. mental health sections NOS,Psychosis,MHP,F30,diagnostic,"","","",2,ICD-10
F319,"Bipolar affective disorder, unspecified",MHP15,Bipolar,Bipolar disorders,Psychosis,MHP,F319,"","","","",2,ICD-10
F502,Bulimia nervosa,MHP12,Bulimia,Eating disorders NOS (incl. Bulimia),Eating disorders,MHP,F502,"","","","",2,ICD-10
F505,Vomiting associated with other psychological disturbances,MHP12,Eating disorder,Eating disorders NOS (incl. Bulimia),Eating disorders,MHP,F505,"","","","",2,ICD-10
G473,"",MHP7,Sleep-wake disorder,Sleep-wake disorders,Common mental health problems,MHP,G473,"","","","",2,ICD-10
F91,Conduct disorders,MHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,MHP,F91,"",ADHD,"","",2,ICD-10
F929,"Mixed disorder of conduct and emotions, unspecified",MHP17,Neurodevelopmental and conduct disorders,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,MHP,F929,"",ADHD,"","",2,ICD-10
F32,Depressive episode,MHP1,Depression,Depression incl. antidepressants,Common mental health problems,MHP,F32,diagnostic,"","","",2,ICD-10
F341,Dysthymia,MHP1,Depression,Depression incl. antidepressants,Common mental health problems,MHP,F341,diagnostic,"","","",2,ICD-10
