code,medcode_gold,coding_term,ACE_indicator_code,indicator_specific,indicator_1,indicator_2,domain,code_original,severity,cut_off,scale,reference_std,individual,system,SnomedCTConceptId,SnomedCTDescriptionId
302741000006114,8250,Emotional stress,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,R00zW00,symptom,age<19,"","",2,Aurum_medcode,442347009,2821158018
366771000006115,525,[X]Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,Eu9..00,diagnostic,age<19,"","",2,Aurum_medcode,231538003,347024014
296736015,50238,Childhood emotional disorder,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,Eu93z00,diagnostic,age<19,"","",2,Aurum_medcode,268664001,401817017
511661000000116,91580,[X]Emotional behavioural problems,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,Eu92.11,diagnostic,age<19,"","",2,Aurum_medcode,5793009,498014018
296721018,44577,[X]Emotional disorders with onset specific to childhood,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,Eu93.00,diagnostic,age<19,"","",2,Aurum_medcode,268664001,401817017
379691000006110,21032,[X]Emotional sleep disorder NOS,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,Eu51z11,diagnostic,age<19,"","",2,Aurum_medcode,270487001,405106013
401913017,64400,[X]Other childhood emotional disorders,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,Eu93y00,diagnostic,age<19,"","",2,Aurum_medcode,268664001,401817017
318029010,72469,[X]Other symptoms and signs involving emotional state,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,Ryu5500,diagnostic,age<19,"","",2,Aurum_medcode,25618008,42944013
318033015,56020,"[X]State of emotional shock and stress, unspecified",MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,Ryu5800,diagnostic,age<19,"","",2,Aurum_medcode,442347009,2821158018
347026011,3347,Adolescent - emotional problem,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,E2D..11,symptom,age<19,"","",2,Aurum_medcode,231539006,347026011
2414391000000110,109882,Emotional behavioural difficulties,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,1B1J100,symptom,age<19,"","",2,Aurum_medcode,943801000000103,2414391000000110
2318751000000116,108635,Emotional eating,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,1FN..00,symptom,age<19,"","",2,Aurum_medcode,901521000000100,2318751000000116
1491815016,1449,Emotional problem,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,1B1J.00,symptom,age<19,"","",2,Aurum_medcode,386816005,1491815016
1219205012,104784,Emotional state observations,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,6652000,symptom,age<19,"","",2,Aurum_medcode,106126000,1219205012
453331012,3502,Emotional upset,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,1B1J.11,symptom,age<19,"","",2,Aurum_medcode,309838005,453331012
295609017,50196,Other childhood and adolescent emotional problems,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,E2Dy.00,symptom,age<19,"","",2,Aurum_medcode,268664001,401817017
295612019,38787,Other childhood and adolescent emotional problems NOS,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,E2Dyz00,symptom,age<19,"","",2,Aurum_medcode,268664001,401817017
2249911000000110,108570,ASQ-SE - ages and stages questionnaires - social-emotional,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,38QY.00,symptom,age<19,"","",2,Aurum_medcode,870721000000102,2249911000000110
F93,"",Emotional disorders with onset specific to childhood,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,"",diagnostic,age<19,"","",2,ICD-10,"",""
R45,"",Symptoms and signs involving emotional state,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,"",symptom,age<19,"","",2,ICD-10,"",""
F938,"",Other childhood emotional disorders,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,"",diagnostic,age<19,"","",2,ICD-10,"",""
F939,"","Childhood emotional disorder, unspecified",MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,"",diagnostic,age<19,"","",2,ICD-10,"",""
F98,"",Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,"",diagnostic,age<19,"","",2,ICD-10,"",""
F988,"",Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,"",diagnostic,age<19,"","",2,ICD-10,"",""
R458,"",Other symptoms and signs involving emotional state,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,"",symptom,age<19,"","",2,ICD-10,"",""
R457,"","State of emotional shock and stress, unspecified",MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,"",symptom,age<19,"","",2,ICD-10,"",""
F989,"",Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence,MHP8,"Childhood emotional disorder, unspecified",Mental health problems NOS,Common mental health problems,MHP,"",diagnostic,age<19,"","",2,ICD-10,"",""
421311000006115,"",[X]Pois/exp ?intent pesticide school/pub admin,MHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,MHP,U40C200,"","","","",2,Aurum_medcode,"",""
1992121000006114,"",Number of episodes of deliberate self harm in past,MHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,MHP,EMISNQNU36,"","","","",2,Aurum_medcode,"",""
325607014,"",Pesticide poisoning,MHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,MHP,SyuG900,"","","","",2,Aurum_medcode,1992121000006105,1992121000006114
388731000006117,"","[X]Hanging, strangulation and suffocation, undetermined intent, occurrence at unspecified place",MHP2,Suicide attempt,Self-harm or suicide attempts,Common mental health problems,MHP,U41z.00,"","","","",2,Aurum_medcode,"",""
391151000006118,"","[X]Intentional self harm by steam, hot vapours and hot objects, occurrence at school, other institution and public administrative area",MHP2,Suicide attempt,Self-harm or suicide attempts,Common mental health problems,MHP,U282.00,"","","","",2,Aurum_medcode,"",""
391191000006112,"","[X]Intentional self harm by crashing of motor vehicle, occurrence at school, other institution and public administrative area",MHP2,Suicide attempt,Self-harm or suicide attempts,Common mental health problems,MHP,U2D2.00,"","","","",2,Aurum_medcode,"",""
391201000006110,"","[X]Intentional self harm by jumping from a high place, occurrence at school, other institution and public administrative area",MHP2,Suicide attempt,Self-harm or suicide attempts,Common mental health problems,MHP,U2B2.00,"","","","",2,Aurum_medcode,"",""
391411000006114,"","[X]Intentional self poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, occurrence at other specified place",MHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,MHP,U20Ay00,"","","","",2,Aurum_medcode,"",""
392721000006117,"","[X]Intentional self harm by jumping from a high place, occurrence in residential institution",MHP2,Suicide attempt,Self-harm or suicide attempts,Common mental health problems,MHP,U2B1.00,"","","","",2,Aurum_medcode,"",""
422101000006110,"",[X]Poison/expos ?intent unspec chemic indust/construct area,MHP2,Self-harm or suicide,Self-harm or suicide attempts,Common mental health problems,MHP,U40y600,"","","","",2,Aurum_medcode,"",""
d_41141000033110,"",Alprazolam 250microgram tablets,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,321241004,250.000microgram,"","","",2,Aurum_prodcode,"",""
d_41241000033115,"",Alprazolam 500microgram tablets,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,321242006,500.000microgram,"","","",2,Aurum_prodcode,"",""
d_88941000033110,"",Ativan 4mg/1ml solution for injection ampoules (Pfizer Ltd),MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,3925811000001106,4.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_172041000033110,"",Buspirone 5mg tablets,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,39734411000001104,5.000mg,"","","",2,Aurum_prodcode,"",""
d_172141000033114,"",Buspirone 10mg tablets,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,39734311000001106,10.000mg,"","","",2,Aurum_prodcode,"",""
d_172241000033119,"",Buspar 10mg tablets (IXL Pharma Ltd),MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,737211000001100,10.000mg,"","","",2,Aurum_prodcode,"",""
d_174141000033116,"",Buspar 5mg tablets (IXL Pharma Ltd),MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,365311000001106,5.000mg,"","","",2,Aurum_prodcode,"",""
d_457941000033112,"",Diazepam 10mg RecTubes (Wockhardt UK Ltd),MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,26811000001102,4.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_458041000033110,"",Diazepam 2.5mg RecTubes (Wockhardt UK Ltd),MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,283311000001103,2.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_458241000033119,"",Diazepam 5mg RecTubes (Wockhardt UK Ltd),MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,603811000001108,2.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_458341000033112,"",Diazepam 2.5mg/1.25ml rectal solution tube,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,323069006,2.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_458541000033117,"",Diazepam 10mg/2.5ml rectal solution tube,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,323074003,4.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_458641000033116,"",Diazepam 5mg/2.5ml rectal solution tube,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,39709411000001106,2.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_460041000033115,"",Diazepam 10mg suppositories,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,321238008,10.000mg,"","","",2,Aurum_prodcode,"",""
d_466741000033115,"",Diazepam 10mg tablets,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,321198003,10.000mg,"","","",2,Aurum_prodcode,"",""
d_466841000033113,"",Diazepam 2mg tablets,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,321196004,2.000mg,"","","",2,Aurum_prodcode,"",""
d_466941000033117,"",Diazepam 5mg tablets,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,321197008,5.000mg,"","","",2,Aurum_prodcode,"",""
d_664141000033111,"",Heminevrin 192mg capsules (AstraZeneca UK Ltd),MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,297311000001106,192.000mg,"","","",2,Aurum_prodcode,"",""
d_667841000033114,"",Heminevrin 250mg/5ml syrup (AstraZeneca UK Ltd),MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,600511000001104,31.500mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_844141000033111,"",Lorazepam 4mg/1ml solution for injection ampoules,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,36040511000001101,4.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_851141000033111,"",Lorazepam 1mg tablets,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,321294008,1.000mg,"","","",2,Aurum_prodcode,"",""
d_851241000033116,"",Lorazepam 2.5mg tablets,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,321295009,2.500mg,"","","",2,Aurum_prodcode,"",""
d_851341000033114,"",Lormetazepam 1mg tablets,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,321123002,1.000mg,"","","",2,Aurum_prodcode,"",""
d_851441000033115,"",Lormetazepam 500microgram tablets,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,321122007,500.000microgram,"","","",2,Aurum_prodcode,"",""
d_901941000033111,"",Meprobamate 400mg tablets,MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,321308004,400.000mg,"","","",2,Aurum_prodcode,"",""
d_923041000033117,"",Molipaxin 50mg capsules (Zentiva Pharma UK Ltd),MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,369211000001100,50.000mg,"","","",2,Aurum_prodcode,"",""
d_923241000033113,"",Molipaxin 100mg capsules (Zentiva Pharma UK Ltd),MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,75511000001108,100.000mg,"","","",2,Aurum_prodcode,"",""
d_929541000033113,"",Molipaxin 50mg/5ml oral liquid (Sanofi),MHP3,Anxiolytic,Anxiety disorder NOS incl. anxiolytics,Common mental health problems,MHP,3904511000001104,10.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
