code,coding_term,ACE_indicator_code,indicator_specific,indicator_1,indicator_2,domain,code_original,severity,cut_off,scale,reference_std,individual,system
E242,Drug-induced Cushing syndrome,SM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,SM,E242,Severe,"","","",2,ICD-10
X459,Accidental poisoning by and exposure to alcohol,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,X459,Severe,"","","",2,ICD-10
G621,Alcoholic polyneuropathy,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,G621,Severe,"","","",2,ICD-10
G312,Degeneration of nervous system due to alcohol,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,G312,Severe,"","","",2,ICD-10
R780,Finding of alcohol in blood,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,R780,Severe,"","","",2,ICD-10
X659,Intentional self-poisoning by and exposure to alcohol,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,X659,Severe,"","","",2,ICD-10
F10,Mental and behavioural disorders due to use of alcohol,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,F10,Severe,"","","",2,ICD-10
F102,Mental and behavioural disorders due to use of alcohol,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,F102,Severe,"","","",2,ICD-10
F108,Mental and behavioural disorders due to use of alcohol,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,F108,Severe,"","","",2,ICD-10
Y15,"Poisoning by and exposure to alcohol, undetermined intent",SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Y15,Severe,"","","",2,ICD-10
Y159,"Poisoning by and exposure to alcohol, undetermined intent",SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Y159,Severe,"","","",2,ICD-10
E244,Alcohol-induced pseudo-Cushing syndrome,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E244,Severe,"","","",2,ICD-10
Z811,Family history of alcohol abuse,SM4,Family substance misuse,Family substance misuse (i.e. unspecified family member),Substance misuse,SM,Z811,Moderate,"","",2,1,ICD-10
I426,Alcoholic cardiomyopathy,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,I426,Severe,"","","",2,ICD-10
F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",SM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,SM,F15,Severe,"","","",2,ICD-10
F12,Mental and behavioural disorders due to use of cannabinoids,SM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,SM,F12,Severe,"","","",2,ICD-10
K70,Alcoholic liver disease,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,K70,Severe,"","","",2,ICD-10
R782,Finding of cocaine in blood,SM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,SM,R782,Severe,"","","",2,ICD-10
F14,Mental and behavioural disorders due to use of cocaine,SM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,SM,F14,Severe,"","","",2,ICD-10
R781,Finding of opiate drug in blood,SM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,SM,R781,Severe,"","","",2,ICD-10
F11,Mental and behavioural disorders due to use of opioids,SM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,SM,F11,Severe,"","","",2,ICD-10
P961,Neonatal withdrawal symptoms from maternal use of drugs of addiction,SM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,SM,P961,Severe,"","","",2,ICD-10
