code,medcode_gold,coding_term,ACE_indicator_code,indicator_specific,indicator_1,indicator_2,domain,code_original,severity,cut_off,scale,reference_std,individual,system,SnomedCTConceptId,SnomedCTDescriptionId
d_4341000033115,"",Acamprosate 333mg gastro-resistant tablets,SM5,"Drugs used for alcohol dependence, specific","Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,323342002,333.000mg,"","","",2,Aurum_prodcode,"",""
d_70641000033112,"",Antabuse 200mg tablets (Actavis UK Ltd),SM5,"Drugs used for alcohol dependence, specific","Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,466211000001101,200.000mg,"","","",2,Aurum_prodcode,"",""
d_161541000033118,"",BritLofex 200microgram tablets (Britannia Pharmaceuticals Ltd),SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,3777011000001103,200.000microgram,"","","",2,Aurum_prodcode,"",""
d_172641000033116,"",Buprenorphine 200microgram sublingual tablets sugar free,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,322498006,200.000microgram,"","","",2,Aurum_prodcode,"",""
d_174241000033111,"",Buprenorphine 400microgram sublingual tablets sugar free,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,322492007,400.000microgram,"","","",2,Aurum_prodcode,"",""
d_189941000033110,"",Campral EC 333mg tablets (Merck Serono Ltd),SM5,"Drugs used for alcohol dependence, specific","Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,762911000001103,333.000mg,"","","",2,Aurum_prodcode,"",""
d_465541000033117,"",Disulfiram 200mg tablets,SM5,"Drugs used for alcohol dependence, specific","Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,323278009,200.000mg,"","","",2,Aurum_prodcode,"",""
d_851641000033118,"",Lofexidine 200microgram tablets,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,323340005,200.000microgram,"","","",2,Aurum_prodcode,"",""
d_883141000033115,"",Methadone 50mg/1ml solution for injection ampoules,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,5709211000001102,50.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_887841000033119,"",Methadone 2mg/5ml linctus,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,36123011000001106,400.000microgram/1.000ml,"","","",2,Aurum_prodcode,"",""
d_888541000033115,"",Methadone 1mg/ml oral solution,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,36120711000001104,1.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_897141000033112,"",Methadone 5mg tablets,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,322591003,5.000mg,"","","",2,Aurum_prodcode,"",""
d_956641000033117,"",Naltrexone 50mg tablets,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,323281004,50.000mg,"","","",2,Aurum_prodcode,"",""
d_1080541000033116,"",Physeptone 5mg tablets (Martindale Pharmaceuticals Ltd),SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,462111000001108,5.000mg,"","","",2,Aurum_prodcode,"",""
d_1655941000033119,"",Methadone 10mg/ml oral solution sugar free,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,36120611000001108,10.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_1656041000033112,"",Methadone 20mg/ml oral solution sugar free,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,36122911000001103,20.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_1835341000033111,"",Buprenorphine 2mg sublingual tablets sugar free,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,322496005,2.000mg,"","","",2,Aurum_prodcode,"",""
d_1835441000033117,"",Buprenorphine 8mg sublingual tablets sugar free,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,322497001,8.000mg,"","","",2,Aurum_prodcode,"",""
d_1835541000033116,"",Subutex 0.4mg sublingual tablets (Indivior UK Ltd),SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,292611000001104,400.000microgram,"","","",2,Aurum_prodcode,"",""
d_1835641000033115,"",Subutex 2mg sublingual tablets (Indivior UK Ltd),SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,231411000001101,2.000mg,"","","",2,Aurum_prodcode,"",""
d_1835741000033112,"",Subutex 8mg sublingual tablets (Indivior UK Ltd),SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,749211000001105,8.000mg,"","","",2,Aurum_prodcode,"",""
d_1977541000033118,"",Methadone 20mg/2ml solution for injection ampoules,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,36121011000001105,10.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_1977641000033117,"",Methadone 35mg/3.5ml solution for injection ampoules,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,36123211000001101,10.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_1977841000033116,"",Methadone 50mg/5ml solution for injection ampoules,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,36032811000001103,10.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_2003041000033115,"",Methadone 1mg/ml oral solution sugar free,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,36120811000001107,1.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_2069041000033119,"",Physeptone 20mg/2ml solution for injection ampoules (Martindale Pharmaceuticals Ltd),SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,541911000001104,10.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_2069141000033115,"",Physeptone 35mg/3.5ml solution for injection ampoules (Martindale Pharmaceuticals Ltd),SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,642511000001108,10.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_2069241000033110,"",Physeptone 50mg/5ml solution for injection ampoules (Martindale Pharmaceuticals Ltd),SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,444411000001104,10.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_2069341000033117,"",Physeptone 10mg/1ml solution for injection ampoules (Martindale Pharmaceuticals Ltd),SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,754611000001105,10.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_2069441000033111,"",Methadone 10mg/1ml solution for injection ampoules,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,36120511000001109,10.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_2092941000033111,"",Methadone hydrochloride powder,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,4317311000001105,1.000mg/1.000mg,"","","",2,Aurum_prodcode,"",""
d_2659341000033116,"",Methadone 50mg/2ml solution for injection ampoules,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,5709011000001107,25.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_2737541000033111,"",Buprenorphine 35micrograms/hour transdermal patches,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,35913711000001103,35.000microgram/1.000hour,"","","",2,Aurum_prodcode,"",""
d_2737641000033112,"",Buprenorphine 52.5micrograms/hour transdermal patches,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,35913811000001106,52.500microgram/1.000hour,"","","",2,Aurum_prodcode,"",""
d_2737741000033115,"",Buprenorphine 70micrograms/hour transdermal patches,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,35913911000001101,70.000microgram/1.000hour,"","","",2,Aurum_prodcode,"",""
d_2922641000033116,"",Buprenorphine 300micrograms/1ml solution for injection ampoules,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,35913611000001107,300.000microgram/1.000ml,"","","",2,Aurum_prodcode,"",""
d_2957141000033113,"",Physeptone 1mg/ml oral solution sugar free (Martindale Pharmaceuticals Ltd),SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,797411000001106,1.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_2957241000033118,"",Physeptone 1mg/ml mixture (Martindale Pharmaceuticals Ltd),SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,578811000001102,1.000mg/1.000ml,"","","",2,Aurum_prodcode,"",""
d_3343341000033117,"",Buprenorphine 5micrograms/hour transdermal patches,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,9567211000001104,5.000microgram/1.000hour,"","","",2,Aurum_prodcode,"",""
d_3343441000033111,"",Buprenorphine 10micrograms/hour transdermal patches,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,9567411000001100,10.000microgram/1.000hour,"","","",2,Aurum_prodcode,"",""
d_3343541000033112,"",Buprenorphine 20micrograms/hour transdermal patches,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,9567311000001107,20.000microgram/1.000hour,"","","",2,Aurum_prodcode,"",""
d_4010641000033111,"",Buprenorphine 2mg / Naloxone 500microgram sublingual tablets sugar free,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,11055811000001106,2.000mg + 500.000microgram,"","","",2,Aurum_prodcode,"",""
d_4010741000033119,"",Buprenorphine 8mg / Naloxone 2mg sublingual tablets sugar free,SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,11055911000001101,8.000mg + 2.000mg,"","","",2,Aurum_prodcode,"",""
d_4010841000033112,"",Suboxone 2mg/500microgram sublingual tablets (Indivior UK Ltd),SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,11047511000001102,2.000mg + 500.000microgram,"","","",2,Aurum_prodcode,"",""
d_4010941000033116,"",Suboxone 8mg/2mg sublingual tablets (Indivior UK Ltd),SM3,"Drugs used for opioid dependence, multipurpose (incl. severe pain) ","Parental drug prescription for opioid dependence, multipurpose usage",Drug misuse,SM,11048311000001109,8.000mg + 2.000mg,"","","",2,Aurum_prodcode,"",""
